"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"The Super Mario Galaxy Movie ","2026","TLR","4DX","J/3","Universal","2min 26sec",,"2026-03-16 오전 11:09",,,,"https://www.imdb.com/video/vi1390398233/",
"The Super Mario Galaxy Movie ","2026","TLR","SX","J/3","Universal","2min 26sec",,"2026-03-16 오전 11:10",,,,"https://www.imdb.com/video/vi1390398233/",
"Biker","2026","TLR","4DX","IN","Local-India","2min 49sec",,"2026-03-19 오후 8:54",,,,,
"Mortal Kombat 2","2026","TLR","4DX","F5/4","Warner","2min 28sec",,"2026-03-20 오전 11:41",,,,"https://www.imdb.com/video/vi1423100697/",
"TEST","2025","기타","SX","TEST(Version)","TEST(Studio)",,,"2026-03-23 오후 3:37",,,,,
"The Super Mario Galaxy Movie ","2026","TLR","SX","Entrance/OV","Universal",,"EMEA (ONLY Wing/DCP UPI)","2026-03-26 오전 11:19",,,,,
"Spider-Man: Brand New Day","2026","TLR","4DX","A/1","Sony","2min 35sec",,"2026-04-01 오후 3:30",,,,"https://www.imdb.com/video/vi281856793/",
"SAKAMOTO DAYS (Live Action)","2026","TLR","SX","30s","Local-Japan","30sec",,"2026-04-02 오후 4:58",,,,,
"Michael","2026","TLR","4DX","D/2","Lionsgate/Universal","2min 18sec",,"2026-04-02 오후 5:34",,,,"https://www.imdb.com/video/vi3069692697/",
"Star Wars: The Mandalorian and Grogu","2026","TLR","4DX","R/4","Disney","2min 13sec",,"2026-04-02 오후 5:34",,,,"https://www.imdb.com/video/vi99142425/",
"Lee Cronin's The Mummy","2026","TLR","SX","F2/2","Warner","2min 25sec",,"2026-04-07 오전 10:01",,,,"https://www.imdb.com/video/vi3370765081/",
"Michael","2026","TLR","SX","D/2","Lionsgate/Universal","2min 18sec",,"2026-04-07 오전 10:05",,,,"https://www.imdb.com/video/vi3069692697/",
"Phi Phong: The Blood Demon","2026","TLR","4DX","VN","Local-VN","1min 41sec",,"2026-04-08 오전 8:59",,,,,
"Moana 2026","2026","TLR","4DX","C/D/4","Disney","2min 21sec",,"2026-04-08 오후 2:17",,,,"https://www.imdb.com/video/vi4258188057/",
"Lee Cronin's The Mummy","2026","TLR","4DX","F2/2","Warner","2min 25sec",,"2026-04-10 오후 2:36",,,,"https://www.imdb.com/video/vi3370765081/",
"The Super Mario Galaxy Movie ","2026","TLR","SX","2_JP","Universal","60s","JP ONLY","2026-04-14 오전 11:29",,,,,
"SAKAMOTO DAYS (Live Action)","2026","TLR","4DX","30s","Local-Japan","30sec",,"2026-04-20 오후 3:51",,,,,
"Spider-Man: Brand New Day","2026","TLR","4DX","D","Sony","2min 28sec",,"2026-04-22 오전 11:06",,,,,
"NATURE","0","Brand TLR","SX","JP",,"60s","The DCP distribution is included for this asset. (made in 2026)","2026-04-22 오후 4:10","2026년 제작",,,,
"Star Wars: The Mandalorian and Grogu","2026","TLR","SX","R/4","Disney","2min 13sec",,"2026-04-22 오후 7:11",,,,"https://www.imdb.com/video/vi99142425/",
"The Devil Wears Prada 2","2026","TLR","SX","B/2","Disney","1min 39sec",,"2026-04-24 오전 10:59",,,,"https://www.imdb.com/video/vi737856281/",
"Street Fighter","2026","TLR","4DX","A/1","Paramount","2min 28sec",,"2026-04-27 오후 3:53",,"Y",,,
"Stray Kids: The dominATE Experience","2026","TLR","4DX","JP","Local-Korea",,"JP ONLY","2026-04-27 오후 3:59",,,,,
"Supergirl","2026","TLR","4DX","F4/5","Warner","2min 24sec",,"2026-04-30 오전 11:09",,,,,
"Mortal Kombat 2","2026","TLR","SX","F5/4","Warner","2min 28sec",,"2026-05-04 오전 8:49",,,,"https://www.imdb.com/video/vi1423100697/",
"Detective Conan: Fallen Angel of the Highway","2026","기타","SX","Special","Local-Japan",,"This is only for the special screening at 6th May 2026 on Yokohama Burg13.  The wing will be provided with the DCP.","2026-05-04 오전 9:35",,,,,
"Sky Dive (92sec)","0","Brand TLR","4DX","EN-XX",,"92sec","w/DCP+Code","2026-05-08 오후 3:51",,,,,
"Sky Dive (60sec)","0","Brand TLR","4DX","EN-XX",,"60sec","w/DCP+Code","2026-05-08 오후 3:52",,,,,
"Sky Dive (45sec)","0","Brand TLR","4DX","EN-XX",,"45sec","w/DCP+Code","2026-05-08 오후 3:52",,,,,
"Sky Dive (92sec)","0","Brand TLR","4DX","EN-KR",,"92sec","w/DCP+Code","2026-05-08 오후 3:54",,,,,
"Sky Dive (92sec)","0","Brand TLR","ULTRA","EN-KR",,"92sec","w/DCP+Code+Wing","2026-05-08 오후 3:54",,,,,
"Sky Dive (92sec)","0","Brand TLR","ULTRA","EN-XX",,"92sec","w/DCP+Code+Wing","2026-05-08 오후 3:55",,,,,
